Date/Time,Year,Month,Day,Data Quality,Max Temp (хбC),Max Temp Flag,Min Temp (хбC),Min Temp Flag,Mean Temp (хбC),Mean Temp Flag,Heat Deg Days (хбC),Heat Deg Days Flag,Cool Deg Days (хбC),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
1992-01-01,1992,1,1,,,,,,,,,,,,,,,,,,,,,,,
1992-01-02,1992,1,2,,,,,,,,,,,,,,,,,,,,,,,
1992-01-03,1992,1,3,,,,,,,,,,,,,,,,,,,,,,,
1992-01-04,1992,1,4,,,,,,,,,,,,,,,,,,,,,,,
1992-01-05,1992,1,5,,,,,,,,,,,,,,,,,,,,,,,
1992-01-06,1992,1,6,,,,,,,,,,,,,,,,,,,,,,,
1992-01-07,1992,1,7,,,,,,,,,,,,,,,,,,,,,,,
1992-01-08,1992,1,8,,,,,,,,,,,,,,,,,,,,,,,
1992-01-09,1992,1,9,,,,,,,,,,,,,,,,,,,,,,,
1992-01-10,1992,1,10,,,,,,,,,,,,,,,,,,,,,,,
1992-01-11,1992,1,11,,,,,,,,,,,,,,,,,,,,,,,
1992-01-12,1992,1,12,,,,,,,,,,,,,,,,,,,,,,,
1992-01-13,1992,1,13,,,,,,,,,,,,,,,,,,,,,,,
1992-01-14,1992,1,14,,,,,,,,,,,,,,,,,,,,,,,
1992-01-15,1992,1,15,,,,,,,,,,,,,,,,,,,,,,,
1992-01-16,1992,1,16,,,,,,,,,,,,,,,,,,,,,,,
1992-01-17,1992,1,17,,,,,,,,,,,,,,,,,,,,,,,
1992-01-18,1992,1,18,,,,,,,,,,,,,,,,,,,,,,,
1992-01-19,1992,1,19,,,,,,,,,,,,,,,,,,,,,,,
1992-01-20,1992,1,20,,,,,,,,,,,,,,,,,,,,,,,
1992-01-21,1992,1,21,,,,,,,,,,,,,,,,,,,,,,,
1992-01-22,1992,1,22,,,,,,,,,,,,,,,,,,,,,,,
1992-01-23,1992,1,23,,,,,,,,,,,,,,,,,,,,,,,
1992-01-24,1992,1,24,,,,,,,,,,,,,,,,,,,,,,,
1992-01-25,1992,1,25,,,,,,,,,,,,,,,,,,,,,,,
1992-01-26,1992,1,26,,,,,,,,,,,,,,,,,,,,,,,
1992-01-27,1992,1,27,,,,,,,,,,,,,,,,,,,,,,,
1992-01-28,1992,1,28,,,,,,,,,,,,,,,,,,,,,,,
1992-01-29,1992,1,29,,,,,,,,,,,,,,,,,,,,,,,
1992-01-30,1992,1,30,,,,,,,,,,,,,,,,,,,,,,,
1992-01-31,1992,1,31,,,,,,,,,,,,,,,,,,,,,,,
1992-02-01,1992,2,1,,,,,,,,,,,,,,,,,,,,,,,
1992-02-02,1992,2,2,,,,,,,,,,,,,,,,,,,,,,,
1992-02-03,1992,2,3,,,,,,,,,,,,,,,,,,,,,,,
1992-02-04,1992,2,4,,,,,,,,,,,,,,,,,,,,,,,
1992-02-05,1992,2,5,,,,,,,,,,,,,,,,,,,,,,,
1992-02-06,1992,2,6,,,,,,,,,,,,,,,,,,,,,,,
1992-02-07,1992,2,7,,,,,,,,,,,,,,,,,,,,,,,
1992-02-08,1992,2,8,,,,,,,,,,,,,,,,,,,,,,,
1992-02-09,1992,2,9,,,,,,,,,,,,,,,,,,,,,,,
1992-02-10,1992,2,10,,,,,,,,,,,,,,,,,,,,,,,
1992-02-11,1992,2,11,,,,,,,,,,,,,,,,,,,,,,,
1992-02-12,1992,2,12,,,,,,,,,,,,,,,,,,,,,,,
1992-02-13,1992,2,13,,,,,,,,,,,,,,,,,,,,,,,
1992-02-14,1992,2,14,,,,,,,,,,,,,,,,,,,,,,,
1992-02-15,1992,2,15,,,,,,,,,,,,,,,,,,,,,,,
1992-02-16,1992,2,16,,,,,,,,,,,,,,,,,,,,,,,
1992-02-17,1992,2,17,,,,,,,,,,,,,,,,,,,,,,,
1992-02-18,1992,2,18,,,,,,,,,,,,,,,,,,,,,,,
1992-02-19,1992,2,19,,,,,,,,,,,,,,,,,,,,,,,
1992-02-20,1992,2,20,,,,,,,,,,,,,,,,,,,,,,,
1992-02-21,1992,2,21,,,,,,,,,,,,,,,,,,,,,,,
1992-02-22,1992,2,22,,,,,,,,,,,,,,,,,,,,,,,
1992-02-23,1992,2,23,,,,,,,,,,,,,,,,,,,,,,,
